loss,accuracy,val_loss,val_accuracy
16.759355545043945,0.6290215253829956,1.5601706504821777,0.7568766474723816
1.4317232370376587,0.6882627010345459,0.5568944215774536,0.7781721353530884
0.6866407990455627,0.7197692394256592,0.5437845587730408,0.782608687877655
0.6028144359588623,0.7246505618095398,0.4934137761592865,0.7834960222244263
0.5504491329193115,0.7570446133613586,0.5587323904037476,0.7817214131355286
0.5551573634147644,0.7621477842330933,0.5201920866966248,0.7834960222244263
0.5356926918029785,0.7610383629798889,0.506710946559906,0.7817214131355286
0.5271808505058289,0.7659196853637695,0.5079453587532043,0.7737355828285217
0.5249168872833252,0.7632571458816528,0.4997209310531616,0.7817214131355286
0.5223329663276672,0.7654759287834167,0.4900417923927307,0.7834960222244263
0.5180173516273499,0.7674728035926819,0.48407047986984253,0.7817214131355286
0.5131555795669556,0.7628133893013,0.48751935362815857,0.7897071838378906
0.5253392457962036,0.7656977772712708,0.4995133876800537,0.7763975262641907
0.5218076705932617,0.7681384682655334,0.48129215836524963,0.785270631313324
0.5132409334182739,0.7714666128158569,0.4907032251358032,0.7817214131355286
0.5147169828414917,0.7674728035926819,0.48664000630378723,0.7870452404022217
0.5185609459877014,0.7699134945869446,0.4772033393383026,0.7905945181846619
0.5189658403396606,0.7736853957176208,0.49341848492622375,0.7843832969665527
0.5140789151191711,0.7656977772712708,0.49297311902046204,0.7834960222244263
0.5092582702636719,0.7710228562355042,0.4807257354259491,0.7701863646507263
0.5285108685493469,0.765032172203064,0.4969448745250702,0.7834960222244263
0.5206285715103149,0.7670290470123291,0.4684305787086487,0.7905945181846619
0.5204793214797974,0.7637009024620056,0.4818699061870575,0.7914817929267883
0.520196259021759,0.7645884156227112,0.48898595571517944,0.7923691272735596
0.5480222702026367,0.7592633962631226,0.519957959651947,0.7755101919174194
0.5397557020187378,0.7617040276527405,0.5068511366844177,0.7905945181846619
0.525977611541748,0.7665852904319763,0.4908856153488159,0.7834960222244263
0.5200769901275635,0.7681384682655334,0.4982435703277588,0.7870452404022217
0.512516438961029,0.7725759744644165,0.48030149936676025,0.7923691272735596
0.5128569602966309,0.7725759744644165,0.48130548000335693,0.795918345451355
0.5163549184799194,0.7683603167533875,0.47328057885169983,0.7843832969665527
0.514991283416748,0.7714666128158569,0.46852806210517883,0.7905945181846619
